date,fips,state,county,score
12/21/2020,1001,AL,Autauga County,88.46
12/20/2020,1001,AL,Autauga County,88.46
12/19/2020,1001,AL,Autauga County,88.46
12/18/2020,1001,AL,Autauga County,78
12/17/2020,1001,AL,Autauga County,78
12/16/2020,1001,AL,Autauga County,78
12/15/2020,1001,AL,Autauga County,80.67
12/14/2020,1001,AL,Autauga County,85.5
12/13/2020,1001,AL,Autauga County,87.5
12/12/2020,1001,AL,Autauga County,87.5
12/11/2020,1001,AL,Autauga County,83.5
12/10/2020,1001,AL,Autauga County,85.5
12/9/2020,1001,AL,Autauga County,85.5
12/8/2020,1001,AL,Autauga County,85.5
12/7/2020,1001,AL,Autauga County,85.5
12/6/2020,1001,AL,Autauga County,87.5
12/5/2020,1001,AL,Autauga County,87.5
12/4/2020,1001,AL,Autauga County,83.5
12/3/2020,1001,AL,Autauga County,77.5
12/2/2020,1001,AL,Autauga County,77.5
12/1/2020,1001,AL,Autauga County,77.5
11/30/2020,1001,AL,Autauga County,77.5
11/29/2020,1001,AL,Autauga County,75
11/28/2020,1001,AL,Autauga County,75
11/27/2020,1001,AL,Autauga County,73
11/26/2020,1001,AL,Autauga County,70.5
11/25/2020,1001,AL,Autauga County,72.5
11/24/2020,1001,AL,Autauga County,72.5
11/23/2020,1001,AL,Autauga County,72.5
11/22/2020,1001,AL,Autauga County,77
12/21/2020,1003,AL,Baldwin County,73.08
12/20/2020,1003,AL,Baldwin County,73.08
12/19/2020,1003,AL,Baldwin County,88.46
12/18/2020,1003,AL,Baldwin County,80.67
12/17/2020,1003,AL,Baldwin County,80.67
12/16/2020,1003,AL,Baldwin County,83.33
12/15/2020,1003,AL,Baldwin County,83.33
12/14/2020,1003,AL,Baldwin County,82.5
12/13/2020,1003,AL,Baldwin County,82.5
12/12/2020,1003,AL,Baldwin County,82.5
12/11/2020,1003,AL,Baldwin County,82.5
12/10/2020,1003,AL,Baldwin County,82.5
12/9/2020,1003,AL,Baldwin County,82.5
12/8/2020,1003,AL,Baldwin County,82.5
12/7/2020,1003,AL,Baldwin County,82.5
12/6/2020,1003,AL,Baldwin County,82.5
12/5/2020,1003,AL,Baldwin County,82.5
12/4/2020,1003,AL,Baldwin County,82.5
12/3/2020,1003,AL,Baldwin County,77
12/2/2020,1003,AL,Baldwin County,74.5
12/1/2020,1003,AL,Baldwin County,74.5
11/30/2020,1003,AL,Baldwin County,74.5
11/29/2020,1003,AL,Baldwin County,74.5
11/28/2020,1003,AL,Baldwin County,74.5
11/27/2020,1003,AL,Baldwin County,70.5
11/26/2020,1003,AL,Baldwin County,70.5
11/25/2020,1003,AL,Baldwin County,74.5
11/24/2020,1003,AL,Baldwin County,74.5
11/23/2020,1003,AL,Baldwin County,74.5
11/22/2020,1003,AL,Baldwin County,74.5
12/21/2020,1005,AL,Barbour County,58.85
12/20/2020,1005,AL,Barbour County,58.85
12/19/2020,1005,AL,Barbour County,58.85
12/18/2020,1005,AL,Barbour County,58.85
12/17/2020,1005,AL,Barbour County,58.85
12/16/2020,1005,AL,Barbour County,58.85
12/15/2020,1005,AL,Barbour County,58.85
12/14/2020,1005,AL,Barbour County,64.72
12/13/2020,1005,AL,Barbour County,57.78
12/12/2020,1005,AL,Barbour County,57.78
12/11/2020,1005,AL,Barbour County,57.78
12/10/2020,1005,AL,Barbour County,57.78
12/9/2020,1005,AL,Barbour County,49
12/8/2020,1005,AL,Barbour County,52.22
12/7/2020,1005,AL,Barbour County,52.22
12/6/2020,1005,AL,Barbour County,52.22
12/5/2020,1005,AL,Barbour County,52.22
12/4/2020,1005,AL,Barbour County,52.22
12/3/2020,1005,AL,Barbour County,57.78
12/2/2020,1005,AL,Barbour County,44
12/1/2020,1005,AL,Barbour County,44
11/30/2020,1005,AL,Barbour County,34.44
11/29/2020,1005,AL,Barbour County,40
11/28/2020,1005,AL,Barbour County,40
11/27/2020,1005,AL,Barbour County,48.89
11/26/2020,1005,AL,Barbour County,41.94
11/25/2020,1005,AL,Barbour County,47.5
11/24/2020,1005,AL,Barbour County,47.5
11/23/2020,1005,AL,Barbour County,47.5
11/22/2020,1005,AL,Barbour County,47.5
12/21/2020,1007,AL,Bibb County,88.46
12/20/2020,1007,AL,Bibb County,88.46
12/19/2020,1007,AL,Bibb County,88.46
12/18/2020,1007,AL,Bibb County,88.46
12/17/2020,1007,AL,Bibb County,88.46
12/16/2020,1007,AL,Bibb County,88.46
12/15/2020,1007,AL,Bibb County,88.46
12/14/2020,1007,AL,Bibb County,91.67
12/13/2020,1007,AL,Bibb County,91.67
12/12/2020,1007,AL,Bibb County,88.89
12/11/2020,1007,AL,Bibb County,88.89
12/10/2020,1007,AL,Bibb County,86.11
12/9/2020,1007,AL,Bibb County,82.5
12/8/2020,1007,AL,Bibb County,86.11
12/7/2020,1007,AL,Bibb County,86.11
12/6/2020,1007,AL,Bibb County,88.89
12/5/2020,1007,AL,Bibb County,91.67
12/4/2020,1007,AL,Bibb County,91.67
12/3/2020,1007,AL,Bibb County,87.5
12/2/2020,1007,AL,Bibb County,82.78
12/1/2020,1007,AL,Bibb County,82.78
11/30/2020,1007,AL,Bibb County,82.78
11/29/2020,1007,AL,Bibb County,82.78
11/28/2020,1007,AL,Bibb County,82.78
11/27/2020,1007,AL,Bibb County,80
11/26/2020,1007,AL,Bibb County,77.22
11/25/2020,1007,AL,Bibb County,66.11
11/24/2020,1007,AL,Bibb County,66.11
11/23/2020,1007,AL,Bibb County,66.11
11/22/2020,1007,AL,Bibb County,55
12/21/2020,1009,AL,Blount County,73.08
12/20/2020,1009,AL,Blount County,73.08
12/19/2020,1009,AL,Blount County,73.08
12/18/2020,1009,AL,Blount County,64.67
12/17/2020,1009,AL,Blount County,64.67
12/16/2020,1009,AL,Blount County,78
12/15/2020,1009,AL,Blount County,80.67
12/14/2020,1009,AL,Blount County,83.5
12/13/2020,1009,AL,Blount County,85.5
12/12/2020,1009,AL,Blount County,85.5
12/11/2020,1009,AL,Blount County,83.5
12/10/2020,1009,AL,Blount County,85.5
12/9/2020,1009,AL,Blount County,85.5
12/8/2020,1009,AL,Blount County,85.5
12/7/2020,1009,AL,Blount County,85.5
12/6/2020,1009,AL,Blount County,87.5
12/5/2020,1009,AL,Blount County,87.5
12/4/2020,1009,AL,Blount County,83.5
