date,fips,state,county,score
12/21/2020,6001,CA,Alameda County,76.15
12/20/2020,6001,CA,Alameda County,88.46
12/19/2020,6001,CA,Alameda County,88.46
12/18/2020,6001,CA,Alameda County,78
12/17/2020,6001,CA,Alameda County,67.33
12/16/2020,6001,CA,Alameda County,63
12/15/2020,6001,CA,Alameda County,67.33
12/14/2020,6001,CA,Alameda County,67.33
12/13/2020,6001,CA,Alameda County,67.33
12/12/2020,6001,CA,Alameda County,67.33
12/11/2020,6001,CA,Alameda County,67.33
12/10/2020,6001,CA,Alameda County,67.33
12/9/2020,6001,CA,Alameda County,58
12/8/2020,6001,CA,Alameda County,70.67
12/7/2020,6001,CA,Alameda County,70.67
12/6/2020,6001,CA,Alameda County,70.67
12/5/2020,6001,CA,Alameda County,60
12/4/2020,6001,CA,Alameda County,60
12/3/2020,6001,CA,Alameda County,60
12/2/2020,6001,CA,Alameda County,52.5
12/1/2020,6001,CA,Alameda County,60
11/30/2020,6001,CA,Alameda County,60
11/29/2020,6001,CA,Alameda County,60
11/28/2020,6001,CA,Alameda County,60
11/27/2020,6001,CA,Alameda County,56.67
11/26/2020,6001,CA,Alameda County,56.67
11/25/2020,6001,CA,Alameda County,47.5
11/24/2020,6001,CA,Alameda County,56.67
11/23/2020,6001,CA,Alameda County,56.67
11/22/2020,6001,CA,Alameda County,56.67
12/21/2020,6003,CA,Alpine County,60
12/20/2020,6003,CA,Alpine County,60
12/19/2020,6003,CA,Alpine County,60
12/18/2020,6003,CA,Alpine County,60
12/17/2020,6003,CA,Alpine County,100
12/16/2020,6003,CA,Alpine County,100
12/15/2020,6003,CA,Alpine County,100
12/14/2020,6003,CA,Alpine County,100
12/13/2020,6003,CA,Alpine County,100
12/12/2020,6003,CA,Alpine County,100
12/11/2020,6003,CA,Alpine County,100
12/10/2020,6003,CA,Alpine County,100
12/9/2020,6003,CA,Alpine County,100
12/8/2020,6003,CA,Alpine County,100
12/7/2020,6003,CA,Alpine County,100
12/6/2020,6003,CA,Alpine County,100
12/5/2020,6003,CA,Alpine County,100
12/4/2020,6003,CA,Alpine County,100
12/3/2020,6003,CA,Alpine County,100
12/2/2020,6003,CA,Alpine County,20
12/1/2020,6003,CA,Alpine County,20
11/30/2020,6003,CA,Alpine County,20
11/29/2020,6003,CA,Alpine County,20
11/28/2020,6003,CA,Alpine County,100
11/27/2020,6003,CA,Alpine County,100
11/26/2020,6003,CA,Alpine County,100
11/25/2020,6003,CA,Alpine County,100
11/24/2020,6003,CA,Alpine County,100
11/23/2020,6003,CA,Alpine County,100
11/22/2020,6003,CA,Alpine County,100
12/21/2020,6005,CA,Amador County,69.23
12/20/2020,6005,CA,Amador County,69.23
12/19/2020,6005,CA,Amador County,71.15
12/18/2020,6005,CA,Amador County,63
12/17/2020,6005,CA,Amador County,63
12/16/2020,6005,CA,Amador County,64.67
12/15/2020,6005,CA,Amador County,64.67
12/14/2020,6005,CA,Amador County,78
12/13/2020,6005,CA,Amador County,88.46
12/12/2020,6005,CA,Amador County,88.46
12/11/2020,6005,CA,Amador County,78
12/10/2020,6005,CA,Amador County,78
12/9/2020,6005,CA,Amador County,81.33
12/8/2020,6005,CA,Amador County,84
12/7/2020,6005,CA,Amador County,81.33
12/6/2020,6005,CA,Amador County,92.31
12/5/2020,6005,CA,Amador County,96.15
12/4/2020,6005,CA,Amador County,84.67
12/3/2020,6005,CA,Amador County,74
12/2/2020,6005,CA,Amador County,74
12/1/2020,6005,CA,Amador County,74
11/30/2020,6005,CA,Amador County,74
11/29/2020,6005,CA,Amador County,90
11/28/2020,6005,CA,Amador County,71.54
11/27/2020,6005,CA,Amador County,63.33
11/26/2020,6005,CA,Amador County,60
11/25/2020,6005,CA,Amador County,60
11/24/2020,6005,CA,Amador County,62.67
11/23/2020,6005,CA,Amador County,60
11/22/2020,6005,CA,Amador County,67.69
12/21/2020,6007,CA,Butte County,92.31
12/20/2020,6007,CA,Butte County,92.31
12/19/2020,6007,CA,Butte County,80
12/18/2020,6007,CA,Butte County,70.67
12/17/2020,6007,CA,Butte County,70.67
12/16/2020,6007,CA,Butte County,65.5
12/15/2020,6007,CA,Butte County,60
12/14/2020,6007,CA,Butte County,70.67
12/13/2020,6007,CA,Butte County,70.67
12/12/2020,6007,CA,Butte County,73.33
12/11/2020,6007,CA,Butte County,70.67
12/10/2020,6007,CA,Butte County,67.33
12/9/2020,6007,CA,Butte County,63
12/8/2020,6007,CA,Butte County,67.33
12/7/2020,6007,CA,Butte County,67.33
12/6/2020,6007,CA,Butte County,62
12/5/2020,6007,CA,Butte County,59.33
12/4/2020,6007,CA,Butte County,56.67
12/3/2020,6007,CA,Butte County,56.67
12/2/2020,6007,CA,Butte County,50
12/1/2020,6007,CA,Butte County,59.33
11/30/2020,6007,CA,Butte County,52.86
11/29/2020,6007,CA,Butte County,59.33
11/28/2020,6007,CA,Butte County,59.33
11/27/2020,6007,CA,Butte County,56.67
11/26/2020,6007,CA,Butte County,56.67
11/25/2020,6007,CA,Butte County,50
11/24/2020,6007,CA,Butte County,56.67
11/23/2020,6007,CA,Butte County,56.67
11/22/2020,6007,CA,Butte County,59.33
12/21/2020,6009,CA,Calaveras County,88.46
12/20/2020,6009,CA,Calaveras County,88.46
12/19/2020,6009,CA,Calaveras County,88.46
