date,fips,state,county,pop,pop_strata,,missing,confidence,,score,daily,Daily Flag,,weekly,change,Weekly Flag
12/21/2020,1001,AL,Autauga County,54571,50th to 75th,,2,0.65,,88.46,0,0,,82.86,-2.92,-2.92
12/20/2020,1001,AL,Autauga County,54571,50th to 75th,,2,0.65,,88.46,0,0,,82.44,-3.34,-3.34
12/19/2020,1001,AL,Autauga County,54571,50th to 75th,,2,0.65,,88.46,10.46,10.46,,82.3,-3.48,-3.48
12/18/2020,1001,AL,Autauga County,54571,50th to 75th,,1,0.75,,78,0,0,,82.17,-3.62,-3.62
12/17/2020,1001,AL,Autauga County,54571,50th to 75th,,1,0.75,,78,0,0,,82.95,-2.83,-2.83
12/16/2020,1001,AL,Autauga County,54571,50th to 75th,,1,0.75,,78,-2.67,-2.67,,84.02,-0.62,-0.62
12/15/2020,1001,AL,Autauga County,54571,50th to 75th,,1,0.75,,80.67,-4.83,-4.83,,85.1,1.6,1.6
12/14/2020,1001,AL,Autauga County,54571,50th to 75th,,0,1,,85.5,-2,-2,,85.79,3.43,3.43
12/13/2020,1001,AL,Autauga County,54571,50th to 75th,,0,1,,87.5,0,0,,85.79,4.57,4.57
12/12/2020,1001,AL,Autauga County,54571,50th to 75th,,0,1,,87.5,4,4,,85.79,6.36,6.36
12/11/2020,1001,AL,Autauga County,54571,50th to 75th,,0,1,,83.5,-2,-2,,85.79,8.14,8.14
12/10/2020,1001,AL,Autauga County,54571,50th to 75th,,0,1,,85.5,0,0,,85.79,9.64,9.64
