date,fips,state,county,score
12/22/2020,12001,FL,Alachua County,#DIV/0!
12/21/2020,12001,FL,Alachua County,76.15
12/20/2020,12001,FL,Alachua County,76.15
12/19/2020,12001,FL,Alachua County,76.15
12/18/2020,12001,FL,Alachua County,67.33
12/17/2020,12001,FL,Alachua County,67.33
12/16/2020,12001,FL,Alachua County,67.33
12/15/2020,12001,FL,Alachua County,67.33
12/14/2020,12001,FL,Alachua County,63
12/13/2020,12001,FL,Alachua County,62
12/12/2020,12001,FL,Alachua County,65
12/11/2020,12001,FL,Alachua County,63
12/10/2020,12001,FL,Alachua County,63
12/9/2020,12001,FL,Alachua County,63
12/8/2020,12001,FL,Alachua County,63
12/7/2020,12001,FL,Alachua County,63
12/6/2020,12001,FL,Alachua County,65
12/5/2020,12001,FL,Alachua County,65
12/4/2020,12001,FL,Alachua County,63
12/3/2020,12001,FL,Alachua County,63
12/2/2020,12001,FL,Alachua County,55
12/1/2020,12001,FL,Alachua County,55
11/30/2020,12001,FL,Alachua County,55
11/29/2020,12001,FL,Alachua County,67
11/28/2020,12001,FL,Alachua County,60
11/27/2020,12001,FL,Alachua County,48
11/26/2020,12001,FL,Alachua County,40
11/25/2020,12001,FL,Alachua County,48
11/24/2020,12001,FL,Alachua County,48
11/23/2020,12001,FL,Alachua County,48
11/22/2020,12001,FL,Alachua County,50
12/22/2020,12003,FL,Baker County,#DIV/0!
12/21/2020,12003,FL,Baker County,88.46
12/20/2020,12003,FL,Baker County,88.46
12/19/2020,12003,FL,Baker County,76.15
12/18/2020,12003,FL,Baker County,72.67
12/17/2020,12003,FL,Baker County,72.67
12/16/2020,12003,FL,Baker County,70
12/15/2020,12003,FL,Baker County,72.67
12/14/2020,12003,FL,Baker County,67
12/13/2020,12003,FL,Baker County,68.89
12/12/2020,12003,FL,Baker County,68.89
12/11/2020,12003,FL,Baker County,57
12/10/2020,12003,FL,Baker County,57
12/9/2020,12003,FL,Baker County,57
12/8/2020,12003,FL,Baker County,57
12/7/2020,12003,FL,Baker County,57
12/6/2020,12003,FL,Baker County,57.78
12/5/2020,12003,FL,Baker County,57.78
12/4/2020,12003,FL,Baker County,57
12/3/2020,12003,FL,Baker County,57
12/2/2020,12003,FL,Baker County,57
12/1/2020,12003,FL,Baker County,57
11/30/2020,12003,FL,Baker County,57
