fips,country,state,county,lat,long,pop,employeeCount,score
48029,US,Texas,Bexar,29.44928723,-98.52019748,2003554,10,65
29019,US,Missouri,Boone,38.99186229,-92.30723575,180463,10,65
36007,US,New York,Broome,42.15903158,-75.81326086,190488,10,65
51031,US,Virginia,Campbell,37.20553386,-79.09678609,54885,10,65
53011,US,Washington,Clark,45.77568046,-122.4829204,488241,10,65
18023,US,Indiana,Clinton,40.30319754,-86.47277257,32399,10,65
17031,US,Illinois,Cook,41.84144849,-87.81658794,5150233,10,65
5031,US,Arkansas,Craighead,35.83018283,-90.63235729,110332,10,65
48113,US,Texas,Dallas,32.76670599,-96.7779605,2635516,10,65
48157,US,Texas,Fort Bend,29.52704478,-95.77219463,811688,10,65
47055,US,Tennessee,Giles,35.20222469,-87.03992678,29464,10,65
24025,US,Maryland,Harford,39.55010644,-76.3077594,255441,10,65
13153,US,Georgia,Houston,32.45802497,-83.66879087,157863,10,65
6029,US,California,Kern,35.34329425,-118.7277796,900202,10,65
47103,US,Tennessee,Lincoln,35.13738622,-86.58910106,34366,10,65
19113,US,Iowa,Linn,42.07923082,-91.59809485,226706,10,65
42081,US,Pennsylvania,Lycoming,41.34310539,-77.06629984,113299,10,65
37119,US,North Carolina,Mecklenburg,35.24469268,-80.8317671,1110356,10,65
25021,US,Massachusetts,Norfolk,42.16073095,-71.20530408,706775,10,65
12095,US,Florida,Orange,28.51367621,-81.31799498,1393452,10,65
4021,US,Arizona,Pinal,32.90525627,-111.3449483,462789,10,65
55105,US,Wisconsin,Rock,42.67151616,-89.071479,163354,10,65
49035,US,Utah,Salt Lake,40.66616532,-111.9216011,1160437,10,65
6071,US,California,San Bernardino,34.84060306,-116.1774685,2180085,10,65
20177,US,Kansas,Shawnee,39.04100763,-95.7557264,176875,10,65
6099,US,California,Stanislaus,37.55862499,-120.9970722,550660,10,65
39151,US,Ohio,Stark,40.81482476,-81.36437305,370606,10,65
48439,US,Texas,Tarrant,32.77143818,-97.29101614,2102515,10,65
17183,US,Illinois,Vermilion,40.18417171,-87.73384359,75758,10,65
39169,US,Ohio,Wayne,40.82925852,-81.88844833,115710,10,65
9015,US,Connecticut,Windham,41.82972709,-71.98182316,116782,10,65
42133,US,Pennsylvania,York,39.9210089,-76.73040131,449058,10,65
